iteration, population, weights, segregation
1, 0, [0.5, 0.5, 0.3, 0.3], 1.147384203138683
2, 32, [0.51, 0.49, 0.31, 0.3], 0.9783107688916751
2, 33, [0.51, 0.49, 0.3, 0.29], 0.8021643314717338
2, 34, [0.51, 0.49, 0.3, 0.31], 1.0490975546049297
2, 35, [0.51, 0.49, 0.3, 0.3], 1.1474494325858065
2, 36, [0.51, 0.51, 0.29, 0.29], 1.1472391213599105
2, 37, [0.51, 0.51, 0.29, 0.31], 1.0603498283109325
2, 38, [0.51, 0.51, 0.29, 0.3], 0.9666494323804159
2, 39, [0.51, 0.51, 0.31, 0.29], 0.8004765208602751
2, 40, [0.51, 0.51, 0.31, 0.31], 1.1474246210719303
2, 41, [0.51, 0.51, 0.31, 0.3], 0.48570866858532713
2, 42, [0.51, 0.51, 0.3, 0.29], 0.9080162069490074
2, 43, [0.51, 0.51, 0.3, 0.31], 1.0159860869445614
2, 44, [0.51, 0.51, 0.3, 0.3], 1.1474630272126178
2, 45, [0.51, 0.5, 0.29, 0.29], 1.1476313434723988
2, 46, [0.51, 0.5, 0.29, 0.31], 1.0131000180487555
2, 47, [0.51, 0.5, 0.29, 0.3], 1.0736678265425776
2, 48, [0.51, 0.5, 0.31, 0.29], 0.9697371866847339
2, 49, [0.51, 0.5, 0.31, 0.31], 1.1473219487843527
2, 50, [0.51, 0.5, 0.31, 0.3], 0.7116882042395027
2, 51, [0.51, 0.5, 0.3, 0.29], 0.6935559594859343
2, 52, [0.51, 0.5, 0.3, 0.31], 1.0325214420947213
2, 53, [0.51, 0.5, 0.3, 0.3], 1.1471985900400519
2, 54, [0.5, 0.49, 0.29, 0.29], 1.147808579633715
2, 55, [0.5, 0.49, 0.29, 0.31], 0.918643225154881
2, 56, [0.5, 0.49, 0.29, 0.3], 1.086458960621683
2, 57, [0.5, 0.49, 0.31, 0.29], 1.055510212733618
2, 58, [0.5, 0.49, 0.31, 0.31], 1.1473304274218092
2, 59, [0.5, 0.49, 0.31, 0.3], 0.7088926216204934
2, 60, [0.5, 0.49, 0.3, 0.29], 0.700481622497369
2, 61, [0.5, 0.49, 0.3, 0.31], 1.0486919096548344
2, 62, [0.5, 0.49, 0.3, 0.3], 1.1473970844003614
2, 63, [0.5, 0.51, 0.29, 0.29], 0.9973246377760401
2, 64, [0.5, 0.51, 0.29, 0.31], 0.9651403467639844
2, 65, [0.5, 0.51, 0.29, 0.3], 0.6694348581425723
2, 66, [0.5, 0.51, 0.31, 0.29], 0.7696711272850157
2, 67, [0.5, 0.51, 0.31, 0.31], 0.9968286639736323
2, 68, [0.5, 0.51, 0.31, 0.3], 0.6166629565209059
2, 69, [0.5, 0.51, 0.3, 0.29], 0.44316498509161134
2, 70, [0.5, 0.51, 0.3, 0.31], 0.6946274001490398
2, 71, [0.5, 0.51, 0.3, 0.3], 0.9972172053359838
2, 72, [0.5, 0.5, 0.29, 0.29], 1.1473882409116465
2, 73, [0.5, 0.5, 0.29, 0.31], 1.316231333842133
2, 74, [0.5, 0.5, 0.29, 0.3], 0.9987952922705928
2, 75, [0.5, 0.5, 0.31, 0.29], 0.763085304516429
2, 76, [0.5, 0.5, 0.31, 0.31], 1.1471103599021553
2, 77, [0.5, 0.5, 0.31, 0.3], 0.4836171192013317
2, 78, [0.5, 0.5, 0.3, 0.29], 0.9150790562029384
2, 79, [0.5, 0.5, 0.3, 0.31], 0.9662656538786542
3, 0, [0.49, 0.49, 0.28, 0.3], 1.1147298115365596
3, 1, [0.49, 0.49, 0.28, 0.32], 1.3924241238767818
3, 2, [0.49, 0.49, 0.28, 0.31], 1.9384059630744304
3, 3, [0.49, 0.49, 0.3, 0.32], 0.9720183108008332
3, 4, [0.49, 0.49, 0.29, 0.32], 1.5045156324162074
3, 5, [0.49, 0.51, 0.28, 0.3], 0.9875227708722456
3, 6, [0.49, 0.51, 0.28, 0.32], 1.055040017345744
3, 7, [0.49, 0.51, 0.28, 0.31], 0.9786085412641661
3, 8, [0.49, 0.51, 0.3, 0.32], 0.7925753426427877
3, 9, [0.49, 0.51, 0.29, 0.32], 1.0298344370361792
3, 10, [0.49, 0.5, 0.28, 0.3], 1.1517570471266143
3, 11, [0.49, 0.5, 0.28, 0.32], 1.0465222958030598
3, 12, [0.49, 0.5, 0.28, 0.31], 1.0261953625738618
3, 13, [0.49, 0.5, 0.3, 0.32], 1.0320344708473286
3, 14, [0.49, 0.5, 0.29, 0.32], 1.1521427171187173
3, 15, [0.51, 0.49, 0.28, 0.3], 1.0763257871555536
