iteration,population,w0,w1,w2,w3,segregation
3, 37,  0.8, 0.8, 0.08, 0.5 , 1.0781577471501098
3, 38,  0.8, 0.8, 0.08, 0.49 , 0.942012974144466
3, 39,  0.8, 0.8, 0.1, 0.48 , 1.198518750989261
3, 40,  0.8, 0.8, 0.09, 0.48 , 0.8201784202187798
3, 41,  0.8, 0.79, 0.08, 0.48 , 1.1290970096768076
3, 42,  0.8, 0.79, 0.08, 0.5 , 1.2328259232818104
3, 43,  0.8, 0.79, 0.08, 0.49 , 0.8622133592966063
3, 44,  0.8, 0.79, 0.1, 0.48 , 0.8181678230077363
3, 45,  0.8, 0.79, 0.09, 0.48 , 1.2324380907249857
3, 46,  0.79, 0.78, 0.08, 0.48 , 0.7601754012448215
3, 47,  0.79, 0.78, 0.08, 0.5 , 0.9722988670751889
3, 48,  0.79, 0.78, 0.08, 0.49 , 1.1368394932093566
3, 49,  0.79, 0.78, 0.1, 0.48 , 1.5436339840878217
3, 50,  0.79, 0.78, 0.1, 0.5 , 0.7846338477955389
3, 51,  0.79, 0.78, 0.1, 0.49 , 0.9761940836648099
3, 52,  0.79, 0.78, 0.09, 0.48 , 1.1273949613550656
3, 53,  0.79, 0.78, 0.09, 0.5 , 1.5857155929303632
3, 54,  0.79, 0.78, 0.09, 0.49 , 1.3184463573196064
3, 55,  0.79, 0.8, 0.08, 0.48 , 1.0901158618249551
3, 56,  0.79, 0.8, 0.08, 0.5 , 1.1978793556636402
3, 57,  0.79, 0.8, 0.08, 0.49 , 1.0034530952411784
3, 58,  0.79, 0.8, 0.1, 0.48 , 0.9776444203626559
3, 59,  0.79, 0.8, 0.09, 0.48 , 1.0665112396433152
3, 60,  0.79, 0.79, 0.08, 0.48 , 1.0128763903885714
3, 61,  0.79, 0.79, 0.08, 0.5 , 0.7962880468543255
3, 62,  0.79, 0.79, 0.08, 0.49 , 1.5926024006999253
3, 63,  0.79, 0.79, 0.1, 0.48 , 0.5859339526910616
3, 64,  0.79, 0.79, 0.09, 0.48 , 1.3956744316805445
3, 65,  0.78, 0.78, 0.08, 0.5 , 0.822775861143923
3, 66,  0.78, 0.78, 0.08, 0.52 , 1.5730159687106693
3, 67,  0.78, 0.78, 0.08, 0.51 , 0.9137248889633603
3, 68,  0.78, 0.78, 0.1, 0.5 , 1.3364476774631975
3, 69,  0.78, 0.78, 0.1, 0.52 , 1.2522957675640873
3, 70,  0.78, 0.78, 0.1, 0.51 , 1.110245219260693
3, 71,  0.78, 0.78, 0.09, 0.5 , 1.5591973970543622
3, 72,  0.78, 0.78, 0.09, 0.52 , 0.8984596459809465
3, 73,  0.78, 0.78, 0.09, 0.51 , 1.1636160509419078
3, 74,  0.78, 0.8, 0.08, 0.5 , 0.8077626733236949
3, 75,  0.78, 0.8, 0.08, 0.52 , 0.8807475964140047
3, 76,  0.78, 0.8, 0.08, 0.51 , 0.9628393654830424
3, 77,  0.78, 0.8, 0.1, 0.5 , 0.7876162030208337
3, 78,  0.78, 0.8, 0.1, 0.52 , 0.8246031260009167
3, 79,  0.78, 0.8, 0.1, 0.51 , 0.962213648892175
3, 80,  0.78, 0.8, 0.09, 0.5 , 1.1859254604855594
3, 81,  0.78, 0.8, 0.09, 0.52 , 1.4980181392739504
3, 82,  0.78, 0.8, 0.09, 0.51 , 0.8803220055497112
3, 83,  0.78, 0.79, 0.08, 0.5 , 1.5928930341574037
3, 84,  0.78, 0.79, 0.08, 0.52 , 1.0677539524381834
3, 85,  0.78, 0.79, 0.08, 0.51 , 0.9460191101442509
3, 86,  0.78, 0.79, 0.1, 0.5 , 1.0244616819621397
3, 87,  0.78, 0.79, 0.1, 0.52 , 0.9092275707140935
3, 88,  0.78, 0.79, 0.1, 0.51 , 0.8598341892822425
3, 89,  0.78, 0.79, 0.09, 0.5 , 1.157258398583883
3, 90,  0.78, 0.79, 0.09, 0.52 , 0.8056612721760008
3, 91,  0.78, 0.79, 0.09, 0.51 , 0.848305001044157
3, 92,  0.8, 0.78, 0.08, 0.5 , 0.9294829201021468
3, 93,  0.8, 0.78, 0.08, 0.52 , 0.7566413982229862
3, 94,  0.8, 0.78, 0.08, 0.51 , 1.3589958357285252
3, 95,  0.8, 0.78, 0.1, 0.5 , 0.8103307504513751
3, 96,  0.8, 0.78, 0.1, 0.52 , 1.4714088664322962
3, 97,  0.8, 0.78, 0.1, 0.51 , 0.822145608660098
3, 98,  0.8, 0.78, 0.09, 0.5 , 1.3171528557138088
3, 99,  0.8, 0.78, 0.09, 0.52 , 1.5967914027796266
3, 100,  0.8, 0.78, 0.09, 0.51 , 0.49892216031740216
3, 101,  0.8, 0.8, 0.08, 0.5 , 1.0781577471501098
3, 102,  0.8, 0.8, 0.08, 0.52 , 1.1564173736032002
3, 103,  0.8, 0.8, 0.08, 0.51 , 1.1102957090456573
3, 104,  0.8, 0.8, 0.1, 0.52 , 1.1516904303294535
3, 105,  0.8, 0.8, 0.09, 0.52 , 1.3291713452100251
3, 106,  0.8, 0.79, 0.08, 0.5 , 1.2328259232818104
3, 107,  0.8, 0.79, 0.08, 0.52 , 0.9977784343030461
3, 108,  0.8, 0.79, 0.08, 0.51 , 0.9757220637194215
3, 109,  0.8, 0.79, 0.1, 0.52 , 1.5143308772372233
3, 110,  0.8, 0.79, 0.09, 0.52 , 1.1096464124913523
3, 111,  0.79, 0.78, 0.08, 0.5 , 0.9722988670751889
3, 112,  0.79, 0.78, 0.08, 0.52 , 1.352085477305261
3, 113,  0.79, 0.78, 0.08, 0.51 , 1.534176680091498
3, 114,  0.79, 0.78, 0.1, 0.5 , 0.7846338477955389
3, 115,  0.79, 0.78, 0.1, 0.52 , 1.7498543291240576
3, 116,  0.79, 0.78, 0.1, 0.51 , 0.8660178214343484
3, 117,  0.79, 0.78, 0.09, 0.5 , 1.5857155929303632
3, 118,  0.79, 0.78, 0.09, 0.52 , 1.1107529009733543
3, 119,  0.79, 0.78, 0.09, 0.51 , 1.0411536609906908
3, 120,  0.79, 0.8, 0.08, 0.5 , 1.1978793556636402
3, 121,  0.79, 0.8, 0.08, 0.52 , 1.118675838534
3, 122,  0.79, 0.8, 0.08, 0.51 , 0.9868415184066344
3, 123,  0.79, 0.8, 0.1, 0.52 , 0.9262500456805622
3, 124,  0.79, 0.8, 0.09, 0.52 , 0.8740450143593098
